,exp_id,agent_id,model,seed,gamma,num_episodes,time_limit,step_limit,show_tree,show_belief,show_pi,render_asci,policy_name,nesting_level,num_sims,r_hi,r_lo,rollout_policies,uct_c,epsilon,policy_entropy_mean,policy_entropy_std,search_time_mean,search_time_std,update_time_mean,update_time_std,reinvigoration_time_mean,reinvigoration_time_std,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_discounted_returns_mean,episode_discounted_returns_std,episode_discounted_returns_max,episode_discounted_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA
1,22,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,0,128,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,1.569462058,0.1688987172,0.616447882,0.1301530513,0.0311453394,0.01749936894,0.02071310007,0.01624387304,-50.91,91.72383496,95,-124,-26.5569605,50.31156584,69.21102687,-69.41995278,13.89,6.27358749,364.150178,231.4084207,0.98,68,2,30,0
0,23,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5328550274,0.4614500737,24.2473971,5.608004964,1.465744239,0.9333861204,2.706387365,3.028424179,43.81,79.50165973,92,-137,20.50314797,39.6677351,56.62992917,-87.59,17.13,9.844445134,486.9512232,402.7966754,0.94,17,6,77,0
1,23,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,0,16,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,1.975540383,0.008586460864,0.0946151804,0.03135193706,0.004325918707,0.001402867848,0.002353133977,0.0009765651611,-76.19,74.0196859,98,-139,-40.09714263,37.93294551,83.885,-69.41995278,17.13,9.844445134,486.9512232,402.7966754,0.94,77,6,17,0
0,24,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.6303042132,0.5375997729,29.36425481,11.17727288,2.047041056,1.563927546,4.752960555,6.406985951,38.74,71.22466146,92,-138,18.98636778,35.71601874,56.62992917,-80.902475,21.01,12.55348159,733.3890591,647.1060376,0.75,8,25,67,0
1,24,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,RandomPolicy,None,None,,,None,None,None,2,0,0,0,0,0,0,0,-79.26,57.44207865,96,-132,-40.83898895,31.31411443,73.8537125,-69.41995278,21.01,12.55348159,733.3890591,647.1060376,0.75,67,25,8,0
0,25,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,None,None,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5411639387,0.4984841289,11.86222601,2.947526615,0.5791651409,0.4127781401,1.047171483,1.776869559,2.19,94.89664852,92,-136,-6.062307456,54.79434088,56.62992917,-87.59,13.76,8.567520061,179.4828868,142.5516557,0.95,40,5,55,0
1,25,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,PESPPolicy,None,None,90,-138,None,None,None,0.5836600854,0.1620930635,0,0,0,0,0,0,-27.81,98.47219861,98,-131,-10.61529258,57.48224742,83.885,-69.41995278,13.76,8.567520061,179.4828868,142.5516557,0.95,55,5,40,0
0,26,0,PEModel,0,0.95,80,86400,40,None,None,None,FALSE,NestedSearchTree,0,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.9538223037,0.4424170038,15.66060955,5.21829618,0.436004064,0.374250186,0.2922380906,0.3322116783,-54.7875,85.56498901,92,-124,-42.13789144,52.59293168,56.62992917,-91.2,9.525,5.645739544,1089.479899,874.0280615,0.9875,58,1,21,0
1,26,1,PEModel,0,0.95,80,86400,40,None,None,None,FALSE,NestedSearchTree,3,4096,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.03240484746,0.07556036034,89.72429385,32.72613349,5.22703419,4.779075598,12.35589542,26.08182117,37.7125,90.64107702,99,-126,29.52297571,56.00483613,89.3,-69.41995278,9.525,5.645739544,1089.479899,874.0280615,0.9875,21,1,58,0
0,27,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,0,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.8484461875,0.4807822133,13.93411885,5.546331822,0.3592487767,0.3212285248,0.2338573405,0.2736221982,-21.78,96.19215976,92,-116,-22.54962433,60.08518059,56.62992917,-87.59,9.77,5.059357667,641.9886392,670.6299292,0.99,56,1,43,0
1,27,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,3,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.1225551091,0.1253572178,47.42084492,19.27691805,2.362601731,2.308808675,4.969435345,15.12529699,4.22,101.2990207,98,-118,9.491439011,63.51976021,83.885,-69.41995278,9.77,5.059357667,641.9886392,670.6299292,0.99,43,1,56,0
0,28,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,0,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.9120996057,0.4786599712,13.35677395,3.544286618,0.4058580434,0.4030402973,0.2650055048,0.3813376849,-32.44,95.03550074,92,-138,-27.74563304,58.50662389,56.62992917,-91.2,10.43,7.098246262,406.4465159,323.353906,0.99,60,1,39,0
1,28,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,3,1024,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.2787126608,0.2378559355,23.15033817,5.5739759,1.316958811,0.9900439795,3.308274018,6.138787274,13.56,99.05668276,99,-123,14.42478754,62.18269195,89.3,-69.41995278,10.43,7.098246262,406.4465159,323.353906,0.99,39,1,60,0
0,29,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,0,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.8935158257,0.4430380585,13.46592788,3.483997943,0.4112387388,0.3296462303,0.2408202647,0.3097338503,-22.45,93.57172383,92,-139,-20.40057385,55.20048233,56.62992917,-91.2,13.37,9.712522844,357.008184,283.3565853,0.92,51,8,41,0
